,id,blat,blon,elat,elon,sides,address,type,rate,num_meters,num_safe,num_towed
98,7b2b306f-890e-4236-9ba5-7d5abfaeba4e,39.964452,-75.246795,39.965957,-75.246473,E,"100+N+63RD+ST+Philadelphia,+PA",zone,,,,
99,8f3b42a8-eec1-4dee-b7be-b686e0986e75,39.9677235,-75.1802636,39.9692034,-75.1816001,N,"2600+PENN+AVE+Philadelphia,+PA",zone,,,,
100,30aae712-319d-4ef2-9144-caf23ec6cf84,39.9396788,-75.1578637,39.9388777,-75.1579771,B,"800+S+09TH+ST+Philadelphia,+PA",zone,,,,
101,7717fa64-5a25-492e-9e67-9ec59a09cb67,40.0117271,-75.1937129,40.0102791,-75.1946917,B,"3600+STANTON+ST+Philadelphia,+PA",zone,,,,
102,632832d7-4173-4d08-9110-ed0d7de578e5,39.9275505,-75.1652435,39.9262854,-75.165719,B,"1800+S+12TH+ST+Philadelphia,+PA",zone,,,,
103,5830e7a3-eb7e-436b-8a10-a84bfbf9a6b1,39.9438095,-75.1576214,39.9438065,-75.157622,E,"800+S+HUTCHINSON+ST+Philadelphia,+PA",zone,,,,
104,079192dd-0d00-4a6c-b196-30def0994e6a,39.9402403,-75.1760801,39.940365,-75.178136,B,"2000+CARPENTER+ST+Philadelphia,+PA",zone,,,,
105,d5c9cc2d-b720-4767-982d-f8050efb9b10,39.9671727,-75.1669613,39.967022,-75.168729,B,"1800+FAIRMOUNT+AV+Philadelphia,+PA",zone,,,,
106,ee54663d-aedb-4629-8d48-ab1089ef22fe,39.9150748,-75.1605821,39.9138136,-75.1607945,E,"2700+S+BEULAH+Philadelphia,+PA",zone,,,,
107,e4e99b17-f271-437b-9e34-34fb07d6025a,39.9560994,-75.2236833,39.9563799,-75.2256853,S,"5100+CHANCELLOR+ST+Philadelphia,+PA",zone,,,,
108,3bbc74d3-c1d6-4dcb-989f-fe1b50a89cd2,39.9375526,-75.1646509,39.9353403,-75.1651476,E,"1100+S+13TH+ST+Philadelphia,+PA",zone,,,,
109,735c73cf-75d9-4a4a-b1a1-fe6badf53ae7,39.940277,-75.1796826,39.9382473,-75.164457,S,"2200+KIMBALL+ST+Philadelphia,+PA",zone,,,,
