METER NUMBER,BLOCK/LIMITS,STREET,SIDE,DISTRICT,MANUFACTURER,MODEL,RATE,FROM DAY,TO DAY,FROM TIME,TO TIME,LIMIT HR,LIMIT MIN,TIMER,STATUS,INSTALLED,MAINTENANCE ROUTE
CAL01,LOT,CALLOWHILL,N,80,METRIC,P&D,$8.00 ,SUN,SAT,0600A,1159P,24,,24HR,"I		",12/17/14,1-NEQ
1229100,201,N 9,E,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,2,,2HR,"R		",1/1/82,1-NEQ
1229101,201,N 9,E,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,2,,2HR,"R		",1/1/82,1-NEQ
1229102,201,N 9,E,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,2,,2HR,"R		",1/1/82,1-NEQ
1229103,201,N 9,E,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,2,,2HR,"R		",1/1/82,1-NEQ
1229104,201,N 9,E,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,2,,2HR,"R		",1/1/82,1-NEQ
1229105,201,N 9,E,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,2,,2HR,"R		",1/1/82,1-NEQ
1229106,201,N 9,E,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,2,,2HR,"R		",1/1/82,1-NEQ
1229107,201,N 9,E,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,2,,2HR,"R		",1/1/82,1-NEQ
1229108,201,N 9,E,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,2,,2HR,"R		",1/1/82,1-NEQ
1229109,201,N 9,E,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,2,,2HR,"R		",1/1/82,1-NEQ
1229110,201,N 9,E,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,2,,2HR,"R		",1/1/82,1-NEQ
1229111,201,N 9,E,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,2,,2HR,"R		",1/1/82,1-NEQ
1229114,501,RACE,N,12,D-E,80,$1.50 ,SUN,SAT,0700A,0700P,12,,12HR,"I		",1/1/82,1-NEQ
1229115,501,RACE,N,12,D-E,80,$1.00 ,SUN,SAT,0700A,0700P,12,,12HR,"R		",1/1/82,1-NEQ
1229116,501,RACE,N,12,D-E,80,$1.00 ,SUN,SAT,0700A,0700P,12,,12HR,"R		",1/1/82,1-NEQ
1229117,501,RACE,N,12,D-E,80,$1.00 ,SUN,SAT,0700A,0700P,12,,12HR,"R		",1/1/82,1-NEQ
1229118,501,RACE,N,12,D-E,80,$1.00 ,SUN,SAT,0700A,0700P,12,,12HR,"R		",1/1/82,1-NEQ
1229119,501,RACE,N,12,D-E,80,$1.00 ,SUN,SAT,0700A,0700P,12,,12HR,"R		",1/1/82,1-NEQ
